model,variant,size,runCount,successCount,errorCount,submittedCount,qualityPassCount,avgCompactionPasses,tokenTotalP70,tokenTotalP95,timeTotalMsP70,timeTotalMsP95,runtimeWorkingSetMiBP70,runtimeWorkingSetMiBP95,expensePrecisionP70,expensePrecisionP95,expenseRecallP70,expenseRecallP95,expenseF1P70,expenseF1P95,rawReportPath,publishedReadoutPath
haiku,tool,1000,20,17,3,15,15,0,781447,1319944,285211,347984,63.5,96.14,0.366667,0.506849,0.533333,0.716667,0.434783,0.556391,results/spend-audit-native-tool-haiku-1000-r20-b10-2026-05-18/company-spend-audit-benchmark-2026-05-19T01-03-03-896Z-60633-8a4789df.json,published-results/readouts/native-tool-rerun-size-1000.md
haiku,tool-compaction,1000,20,19,1,19,19,4.789,611979,1357544,284988,516933,64.58,96.14,0.451613,1,0.516667,0.65,0.459016,0.651685,results/spend-audit-native-tool-haiku-1000-r20-b10-2026-05-18/company-spend-audit-benchmark-2026-05-19T01-03-03-896Z-60633-8a4789df.json,published-results/readouts/native-tool-rerun-size-1000.md
sonnet,tool,1000,20,15,5,14,14,0,723165,833173,752907,875306,39.56,40.45,0.554217,0.6,0.783333,0.816667,0.641791,0.661972,results/spend-audit-native-tool-sonnet-1000-r20-sharded-p5-2026-05-18/run-*/company-spend-audit-benchmark-*.json,published-results/readouts/native-tool-rerun-size-1000.md
sonnet,tool-compaction,1000,20,20,0,20,20,4.05,655839,856054,785430,1059369,36.98,37.92,0.556818,0.61039,0.8,0.833333,0.608,0.662162,results/spend-audit-native-tool-sonnet-1000-r20-sharded-p5-2026-05-18/run-*/company-spend-audit-benchmark-*.json,published-results/readouts/native-tool-rerun-size-1000.md
opus,tool,1000,20,20,0,20,20,0,625159,788080,414839,574674,54.66,123.89,0.529412,0.590909,0.65,0.7,0.569343,0.619048,results/spend-audit-native-tool-opus-1000-r20-b10-2026-05-18/company-spend-audit-benchmark-2026-05-18T23-46-54-986Z-18443-3bf43547.json,published-results/readouts/native-tool-rerun-size-1000.md
opus,tool-compaction,1000,20,20,0,20,20,0.9,375770,502988,408235,611946,54.39,123.89,0.578125,0.597015,0.666667,0.783333,0.596774,0.629921,results/spend-audit-native-tool-opus-1000-r20-b10-2026-05-18/company-spend-audit-benchmark-2026-05-18T23-46-54-986Z-18443-3bf43547.json,published-results/readouts/native-tool-rerun-size-1000.md
